id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,date
19081,443000,2,1,1220,10170,1,0,0,3,7,980,240,1948,0,98125,47.7297,-122.327,1990,9064,324
6014,925000,4,2.5,3350,4501,2,0,0,3,9,2640,710,2002,0,98117,47.688,-122.379,1000,4500,353
4347,230000,3,1.75,1340,8250,1,0,0,3,7,1100,240,1985,0,98042,47.3668,-122.09,1540,7860,184
8229,722800,3,3.25,4330,14600,2,0,0,3,10,3630,700,1985,0,98074,47.6341,-122.044,3220,12672,265
2755,346950,3,2.5,2040,4348,2,0,0,4,8,2040,0,2006,0,98038,47.3517,-121.999,2380,4348,84
17029,445000,4,2,1700,21780,1,0,0,4,6,1080,620,1940,0,98052,47.6289,-122.108,2070,12054,202
7239,674725,4,2.5,2700,10160,2,0,0,3,9,2700,0,1988,0,98029,47.5685,-122.012,2760,9219,375
11733,215000,3,1,1180,9000,1,0,0,4,7,1180,0,1970,0,98031,47.39,-122.166,1290,8316,88
3191,1.135e+006,4,2.75,3370,8103,1,0,3,3,9,1970,1400,1970,2014,98136,47.5232,-122.383,2120,6360,4
7841,315000,4,2.5,1950,3225,2,0,0,3,7,1950,0,2002,0,98178,47.5014,-122.226,1980,3225,182
3715,421000,4,2.25,1310,8400,1,0,0,4,7,1310,0,1966,0,98034,47.7317,-122.181,1600,8400,204
11819,250000,3,2.25,1620,10850,1,0,0,3,7,1620,0,1966,0,98055,47.4437,-122.194,1910,10568,187
14578,589000,4,2.25,2390,57599,2,0,0,3,8,2390,0,1981,0,98053,47.6651,-122.067,2390,38186,317
11333,305000,3,1.5,1210,5240,1,0,0,4,7,610,600,1983,0,98106,47.5524,-122.356,1560,5240,42
1936,320000,4,1.75,1660,6200,1,0,0,4,6,830,830,1948,0,98108,47.56,-122.316,1780,5968,174
18394,790000,4,2.5,3500,9198,2,0,0,3,9,3500,0,2004,0,98053,47.6785,-122.025,3990,8598,71
9428,255000,4,2,2560,12155,1,0,0,4,7,1350,1210,1960,0,98003,47.3326,-122.323,1790,11906,140
15213,915000,3,2.25,2390,2750,2,0,0,5,8,1580,810,1925,0,98109,47.6339,-122.354,2200,5160,311
13486,447000,3,1,1220,7200,1,0,0,4,7,1220,0,1965,0,98008,47.6218,-122.116,1320,7200,281
16742,424000,3,2,1670,7700,1,0,0,3,7,1170,500,1972,0,98034,47.725,-122.2,1500,7875,47
14863,375000,3,1.5,2000,7294,1,0,0,3,7,1520,480,1965,0,98118,47.5297,-122.267,2000,6000,25
16109,250000,4,1,1320,11212,1,0,0,5,6,1320,0,1914,0,98002,47.3098,-122.209,1060,6766,313
14337,329950,3,1.75,1360,13320,1,0,0,4,7,1360,0,1985,0,98059,47.4625,-122.069,1580,13625,313
6336,455850,3,2.25,1820,6000,1,0,0,4,7,1120,700,1964,0,98108,47.5684,-122.3,1970,6232,360
18469,300000,3,1.5,1320,15053,1,0,0,3,7,1320,0,1979,0,98072,47.7405,-122.095,1250,13368,144
597,240500,3,1.75,1460,10584,1,0,0,3,7,990,470,1997,0,98168,47.492,-122.317,1220,12012,33
8465,330000,3,2.5,2040,14071,2,0,0,3,7,2040,0,1995,0,98019,47.7278,-121.963,1890,14040,266
8873,279000,4,2,2200,7700,1,0,0,3,7,1100,1100,1979,0,98058,47.464,-122.18,1790,7700,49
3582,521000,2,1,1050,7500,1.5,0,3,4,6,1050,0,1910,0,98116,47.5577,-122.399,2540,13680,374
3125,527000,4,2.5,2900,6736,2,0,0,3,8,2900,0,2013,0,98059,47.4954,-122.152,2900,6736,173
10759,850000,5,2.25,3100,97661,2,0,0,3,9,3100,0,1986,0,98053,47.6624,-122.062,2370,53993,325
3321,921000,4,2.5,2310,5362,2,0,4,4,8,2010,300,1928,0,98122,47.6044,-122.284,2530,5960,326
14743,475000,2,1.5,1170,1250,3,0,0,3,8,1170,0,2000,0,98107,47.6719,-122.38,1310,1308,369
19478,277500,4,2,1700,12048,2,0,0,3,7,1700,0,1990,0,98030,47.3748,-122.186,1960,7650,341
18763,529941,3,2,1660,10000,1,0,0,4,7,1010,650,1961,0,98005,47.5852,-122.174,2020,9720,293
17593,355000,3,1,1360,8968,1,0,0,3,7,1360,0,1956,0,98125,47.7105,-122.289,1490,7355,137
10172,389950,4,2.5,3140,8060,2,0,0,3,9,3140,0,1991,0,98023,47.3091,-122.343,3000,8060,20
20734,603000,4,3.5,3610,6345,2,0,0,3,9,2370,1240,2008,0,98058,47.4283,-122.102,3010,29279,368
12591,587000,5,3.5,3610,52595,2,0,0,4,7,3610,0,1989,0,98014,47.6832,-121.907,1620,60112,77
16714,495000,4,3,2740,2811,2,0,0,3,8,2240,500,2003,0,98072,47.7738,-122.158,2740,3596,106
14400,998000,5,4.5,4130,10404,2,0,0,3,10,4130,0,2004,0,98029,47.5556,-122.03,3890,11531,117
2000,465000,4,2.25,2340,13383,1,0,0,3,8,1170,1170,1983,0,98074,47.6211,-122.037,1810,12532,78
8797,265000,2,1.5,1440,22081,2,0,0,3,7,1440,0,1990,0,98019,47.7698,-121.896,1440,19544,303
20669,496000,3,2.5,2180,4533,2,0,0,3,7,2180,0,2010,0,98011,47.754,-122.215,2180,7347,201
11323,687500,3,1.5,1280,2114,1.5,0,0,3,8,1280,0,1904,0,98122,47.6174,-122.308,1540,1456,167
20186,1.312e+006,3,3.25,4030,6300,2,0,0,3,10,3630,400,2006,0,98105,47.6664,-122.276,1660,6300,260
14373,280000,3,1,1720,9605,1,0,0,3,7,860,860,1969,0,98028,47.7439,-122.242,1720,9998,146
18829,732000,3,2,1940,55756,1,0,0,5,9,1940,0,1954,0,98007,47.5913,-122.149,2330,10018,16
11991,681500,5,2.75,3260,11700,1,0,0,3,8,1630,1630,1964,0,98008,47.6169,-122.104,2860,11700,49
12918,936000,4,2.5,3330,8897,2,0,0,3,10,3330,0,2001,0,98074,47.6484,-122.08,3150,7515,334
14654,760000,4,2.5,3600,155509,2,0,0,3,9,3600,0,2004,0,98010,47.3538,-121.986,3410,34412,262
4467,284000,4,3,2040,7145,1,0,0,3,8,1490,550,1994,0,98092,47.3275,-122.171,1940,7145,307
1476,280000,4,2.25,2100,8075,2,0,0,3,8,2100,0,1978,0,98003,47.3251,-122.329,2100,7464,325
5150,994900,4,3.5,3695,6556,2,0,0,3,9,3695,0,2014,0,98053,47.683,-122.015,4160,6786,266
9557,570000,2,1,1790,3760,1.5,0,0,4,8,1490,300,1912,0,98144,47.5926,-122.293,1458,3760,173
7123,500000,3,1.75,1700,6120,1,0,0,3,7,1700,0,1952,0,98116,47.5807,-122.397,1330,6120,244
10024,200000,3,2.25,1230,7420,1.5,0,0,5,7,1230,0,1913,0,98002,47.3184,-122.22,1260,7556,49
2182,488000,5,2,2020,5000,1.5,0,0,4,7,2020,0,1938,0,98117,47.6949,-122.37,1510,6600,4
2861,322000,3,2,1760,43575,1,0,0,3,7,1160,600,1988,0,98010,47.3565,-121.94,1760,46038,104
8311,450000,3,1.75,1400,13775,1,0,0,3,8,1400,0,1963,0,98028,47.7413,-122.259,2200,10450,61
8641,430000,3,1.75,1610,7900,1,0,0,4,8,1310,300,1960,0,98177,47.7588,-122.36,2210,7700,160
13836,618250,4,3.25,2520,3360,1.5,0,0,4,8,1550,970,1931,0,98115,47.6801,-122.315,1730,3360,48
11758,435000,4,2.5,2440,5350,2,0,0,3,7,2440,0,2003,0,98059,47.4891,-122.149,2440,5090,83
2808,401000,3,2.75,2020,9505,1,0,0,3,7,1260,760,1969,0,98011,47.7399,-122.197,2080,11901,216
17707,605000,3,2.25,1960,10139,2,0,0,3,8,1960,0,1984,0,98074,47.6481,-122.061,2080,9753,347
14663,569500,4,1,1960,3194,2,0,0,3,7,1960,0,1907,0,98144,47.6005,-122.296,1870,4200,148
2525,225000,3,1,1010,7633,1,0,0,4,6,1010,0,1961,0,98198,47.3781,-122.314,1190,8386,238
1431,354000,4,2.5,2900,4762,2,0,0,3,8,2900,0,2005,0,98042,47.3663,-122.129,2900,5173,145
11927,559500,3,2.25,2150,9250,2,0,0,3,8,2150,0,1984,0,98052,47.7179,-122.113,2240,9266,220
14402,547000,3,2.5,1480,8381,1,0,0,4,7,1480,0,1968,0,98125,47.7078,-122.288,1710,8050,34
15571,309950,3,2.25,1990,6350,2,0,0,3,7,1990,0,1967,0,98198,47.3822,-122.316,1220,6250,197
20647,799000,3,2,2550,4794,2,0,0,3,9,2550,0,2007,0,98115,47.6955,-122.29,1630,5100,163
9150,534950,3,2.25,2130,12286,2,0,0,3,8,2130,0,1977,0,98052,47.6471,-122.114,2130,10158,103
959,323000,3,1.75,2100,14850,1,0,0,4,7,2100,0,1963,0,98042,47.3622,-122.059,1930,17238,130
1681,445000,5,3,2930,5500,1,0,0,3,7,1750,1180,1951,0,98118,47.5572,-122.281,1400,5500,133
4688,828200,4,2.75,3400,7081,2,0,0,3,9,3400,0,2001,0,98006,47.5661,-122.123,3060,7081,225
4426,355000,2,1,1350,368517,1,0,0,3,6,1350,0,1947,0,98077,47.7617,-122.061,2330,104108,182
17211,1.45e+006,5,2.75,3090,19865,1,0,0,4,9,3090,0,1953,0,98039,47.6232,-122.235,2970,19862,184
6160,450000,4,1.75,2190,11625,1,0,0,4,8,2020,170,1956,0,98146,47.4979,-122.363,1920,8855,361
19576,254922,2,1,780,8160,1,0,0,4,6,780,0,1953,0,98133,47.7356,-122.34,1310,8160,156
9915,317500,2,1,1000,5120,1,0,0,3,6,1000,0,1902,0,98122,47.6088,-122.307,1940,4300,145
11371,775000,3,2.5,1980,7807,2,0,0,4,9,1980,0,1989,0,98033,47.6884,-122.204,1590,7579,112
3439,216000,3,2,1260,4125,1,0,0,3,6,1260,0,1998,0,98188,47.4401,-122.279,1300,9091,170
16229,485000,3,2.5,1650,3436,2,0,0,3,7,1650,0,2003,0,98053,47.6819,-122.036,1680,3446,340
18732,759000,3,1.5,1980,5800,1,0,0,4,8,1520,460,1949,0,98199,47.6499,-122.413,2280,5800,154
565,863000,4,2.5,4120,22370,2,0,0,3,10,4120,0,1997,0,98074,47.6239,-122.023,3180,7257,42
3010,430000,4,2.25,2020,4840,1.5,0,0,5,8,1200,820,1925,0,98126,47.5576,-122.376,1410,4840,226
220,1.072e+006,2,2.25,3900,14864,1,0,3,3,8,1950,1950,1947,0,98144,47.5884,-122.291,2580,5184,119
16871,813500,4,2,2530,15520,1,0,0,5,8,2220,310,1964,0,98005,47.613,-122.167,2500,13300,83
17610,970000,4,2.75,3600,5040,2,0,0,3,9,2610,990,2004,0,98199,47.6487,-122.388,1590,5040,314
7501,406500,2,1,870,5750,1,0,0,4,7,870,0,1947,0,98116,47.5637,-122.395,1100,5750,59
10123,749950,4,2.5,2620,8312,2,0,0,3,9,2620,0,1990,0,98074,47.6272,-122.033,2260,8515,255
1408,300000,3,2.5,1260,3855,2,0,0,3,8,1260,0,1999,0,98059,47.4908,-122.154,1310,3344,97
12474,314950,4,1.75,1890,9623,1,0,0,4,7,1290,600,1969,0,98001,47.2901,-122.279,1510,9711,355
5649,619950,2,1,1520,5400,1,0,0,3,7,920,600,1951,0,98115,47.6796,-122.279,1600,5400,151
8805,699950,3,3.25,2230,5460,1,0,1,4,8,1430,800,1977,0,98136,47.53,-122.388,2070,5600,326
19982,415000,3,2.75,2600,64626,1.5,0,0,3,8,2600,0,2009,0,98014,47.7185,-121.405,1740,64626,56
2049,528000,4,1.75,1860,9750,1,0,0,3,7,1460,400,1969,0,98034,47.7097,-122.202,1900,8913,333
8522,553000,2,1,900,5000,1,0,0,3,7,900,0,1944,0,98117,47.6883,-122.395,1280,5000,1
16244,323400,4,3,2060,9138,1,0,0,3,8,1430,630,1992,0,98092,47.321,-122.185,2250,7820,269
16576,109500,2,1,800,10625,1,0,0,3,6,800,0,1942,0,98168,47.496,-122.317,1130,10625,140
17407,390000,3,2.25,1600,10240,1,0,0,3,7,1090,510,1979,0,98034,47.7281,-122.232,1520,9394,48
1941,550000,3,2.5,2260,4165,2,0,0,3,7,2260,0,2005,0,98075,47.5922,-122.008,2770,4566,38
7731,340000,2,2,1250,1178,2,0,0,3,7,980,270,1996,0,98136,47.5426,-122.387,1270,1242,327
14572,395000,4,1.75,1540,5120,1,0,0,5,6,770,770,1943,0,98126,47.5359,-122.372,1080,5120,53
157,215000,3,1,1180,7669,1,0,0,4,7,1180,0,1967,0,98058,47.4479,-122.176,1190,7669,88
9701,390000,2,1.5,1050,934,2,0,0,3,8,960,90,2007,0,98122,47.6029,-122.309,1470,1885,219
2976,2.95e+006,4,3.5,4860,23885,2,0,0,3,12,4860,0,1996,0,98039,47.6172,-122.23,3580,16054,120
17445,560000,3,2.5,2430,5128,1,0,1,3,8,1270,1160,1978,0,98136,47.5198,-122.389,2510,5330,208
20224,550000,3,2.25,1540,1005,3,0,0,3,8,1540,0,2008,0,98103,47.6827,-122.346,1510,1501,218
11827,335000,4,2.5,1980,4745,2,0,0,3,7,1980,0,2004,0,98038,47.3495,-122.04,1980,4878,176
20325,672000,3,2.5,1780,1647,2,0,0,3,8,1080,700,2008,0,98103,47.6597,-122.355,2000,1741,348
2344,705380,3,2.5,2490,4343,2,0,0,3,9,2490,0,2003,0,98029,47.5493,-121.993,2130,4106,3
11692,412000,3,1,1660,6992,1,0,0,5,7,1260,400,1952,0,98155,47.7576,-122.318,1390,7359,112
5805,385000,4,2.5,3200,22651,1,0,0,5,8,1610,1590,1970,0,98031,47.3931,-122.183,2030,5500,55
7850,175000,3,1,1150,8924,1,0,0,3,6,1150,0,1943,0,98030,47.3865,-122.217,1492,8924,362
10016,521000,4,2.25,1890,8034,1,0,0,4,8,1890,0,1967,0,98008,47.6338,-122.117,1920,7210,111
11737,400000,6,2.5,3060,17112,1,0,0,4,8,1530,1530,1967,0,98058,47.4379,-122.146,2690,16038,244
7826,490000,2,1,1420,4305,1,0,0,4,7,920,500,1941,0,98115,47.6864,-122.311,1420,4305,175
6094,229900,3,1,1010,8848,1,0,0,4,7,1010,0,1968,0,98003,47.2742,-122.299,1380,10650,81
9466,250600,4,2.5,1930,8660,1,0,0,3,7,1120,810,1981,0,98001,47.3261,-122.26,1830,9591,42
8765,655000,5,3.25,3690,12353,2,0,0,5,9,3690,0,1977,0,98155,47.7672,-122.292,2290,9082,14
8018,368500,4,2.75,2500,26400,1,0,0,3,8,1780,720,1977,0,98031,47.3444,-122.084,2180,31900,356
268,285000,3,1,1120,10701,1,0,0,3,7,1120,0,1954,0,98106,47.5544,-122.358,1130,6350,151
14153,950000,3,3,3610,17483,2,0,2,4,8,3610,0,1954,0,98146,47.4852,-122.357,2230,12600,354
20010,759000,3,2.25,1640,1873,3,0,0,3,8,1640,0,2014,0,98112,47.6196,-122.297,1640,3920,217
9247,570000,4,1.75,1860,7700,1,0,0,4,8,1860,0,1964,0,98008,47.626,-122.112,1860,7700,148
11098,310000,4,1,1740,11075,1.5,0,0,3,7,1740,0,1965,0,98133,47.7458,-122.334,1580,7684,39
19316,316000,3,1.75,1120,98445,1.5,0,2,4,7,1120,0,1917,0,98022,47.1853,-122.017,1620,34200,187
2942,550000,4,2.5,2170,9600,1,0,0,3,7,1460,710,1980,0,98052,47.6789,-122.116,1940,8400,32
4687,765000,3,2.5,2300,9752,2,0,2,3,8,2300,0,1968,2003,98075,47.5825,-122.076,2640,10764,346
20950,605000,3,2.75,2450,5750,2,0,0,3,9,2450,0,2013,0,98065,47.5439,-121.862,3200,8036,325
14567,380000,5,3.25,3800,15500,1,0,0,3,7,2490,1310,1965,0,98032,47.3862,-122.28,2000,13980,313
11324,1.168e+006,5,2.75,2910,15118,1,0,0,5,9,1780,1130,1972,0,98006,47.5696,-122.183,2880,15253,105
4568,203000,3,1,1150,7156,1,0,0,4,6,1150,0,1953,0,98168,47.4864,-122.317,1210,7156,49
15562,1.089e+006,5,3.25,5600,107157,2,0,0,3,10,3440,2160,1988,0,98072,47.7341,-122.102,3470,75794,338
20753,1.079e+006,5,3.5,3740,5610,2,0,0,3,9,2860,880,2014,0,98117,47.6764,-122.392,1520,4590,145
6214,510000,4,2.5,1840,7800,1,0,2,3,8,1240,600,1972,0,98177,47.7762,-122.384,2010,9100,272
4915,278000,3,1.5,1900,9994,1,0,0,3,7,1120,780,1960,0,98168,47.4729,-122.301,1900,9994,354
14047,355000,2,2.25,930,747,2,0,0,3,8,630,300,2007,0,98144,47.5844,-122.316,940,6000,53
3900,450000,3,2.5,1639,2710,2,0,0,3,8,1479,160,2003,0,98144,47.5924,-122.294,1580,1733,112
11497,455000,2,1.5,1020,1146,3,0,0,3,7,1020,0,2001,0,98115,47.6774,-122.325,1138,1156,252
12766,450000,4,2,1960,5008,1,0,0,3,6,980,980,1900,1988,98144,47.5958,-122.299,1175,2315,273
6064,240000,2,1,870,8400,1,0,0,3,7,870,0,1960,0,98188,47.4493,-122.282,1070,12465,173
1212,585000,4,1.75,1760,5356,1,0,0,4,7,920,840,1950,0,98115,47.679,-122.288,1680,5184,189
7545,625000,2,1,1100,4160,1,0,0,3,7,1100,0,1919,0,98109,47.6352,-122.352,1900,4000,113
3702,223000,3,2,1110,7231,1,0,0,4,7,1110,0,1991,0,98031,47.4036,-122.191,1550,7245,62
12053,688500,3,1.75,1760,4125,1.5,0,3,4,7,1760,0,1927,0,98103,47.6748,-122.352,1760,4000,201
21181,1.05e+006,4,3.25,2930,25020,2,0,0,3,9,2930,0,2013,0,98029,47.5514,-122.023,2400,32374,359
12718,455000,3,1.75,1700,8360,1,0,0,4,7,850,850,1955,0,98006,47.5766,-122.147,1520,8360,174
14692,565000,3,2.5,4040,8653,2,0,0,3,9,2900,1140,2006,0,98019,47.7378,-121.975,3360,8653,233
6295,236000,3,1.75,1090,7647,1,0,0,3,7,1090,0,1994,0,98003,47.2613,-122.302,1660,9219,318
4889,930000,3,2.5,3780,35273,1.5,0,0,3,10,3780,0,1986,0,98072,47.7499,-122.119,3450,35273,147
9477,215000,3,1.75,1770,29004,1,0,0,3,8,1770,0,1959,0,98023,47.3204,-122.364,2300,24534,69
2276,299500,3,1,1280,6726,1,0,0,3,6,1280,0,1958,0,98144,47.5724,-122.301,1630,5000,220
2527,549000,5,2.5,1710,9720,2,0,0,4,8,1710,0,1974,0,98005,47.5903,-122.157,2270,9672,92
8305,623000,3,2.75,2390,21804,1,0,0,3,8,1450,940,1973,0,98034,47.7339,-122.183,2390,10136,320
7814,280000,3,1.75,1740,8625,1,0,0,4,7,1240,500,1978,0,98023,47.3054,-122.38,1980,8625,362
17293,624900,4,2.5,2270,11500,1,0,0,3,8,1540,730,1967,0,98034,47.7089,-122.241,2020,10918,288
14672,481450,3,2,1410,4800,1,0,0,3,7,1410,0,1940,0,98117,47.6852,-122.378,1190,3840,7
7230,506000,4,2.25,2040,12000,1,0,0,4,7,1300,740,1963,0,98028,47.7362,-122.241,1930,12000,348
8368,262500,3,1.5,1610,10291,1,0,0,4,7,1610,0,1961,0,98022,47.2025,-121.999,1410,7729,154
7685,600000,3,2,1460,2800,1,0,0,4,7,730,730,1921,0,98105,47.67,-122.295,1780,4560,353
18108,176000,3,2.25,1540,5449,1,0,0,2,7,1180,360,1989,0,98023,47.29,-122.358,1460,6740,225
17299,364000,4,1,1020,11383,1.5,0,0,5,6,1020,0,1947,0,98155,47.7429,-122.321,1290,11213,216
13762,542000,4,2.5,2020,3440,1.5,0,0,4,7,1480,540,1928,0,98117,47.6885,-122.376,1520,5080,145
17747,272450,3,2.25,1780,7332,2,0,0,3,7,1780,0,1987,0,98038,47.3593,-122.051,1510,7625,182
10108,464000,4,2.5,2180,7203,2,0,0,4,8,2180,0,1989,0,98059,47.5119,-122.151,2350,7334,40
7758,375000,2,1,790,5120,1,0,0,3,6,790,0,1950,0,98136,47.557,-122.395,1250,5120,367
722,289950,3,2.5,1670,6186,2,0,0,3,7,1670,0,2002,0,98038,47.3668,-122.031,2390,6924,99
879,390000,3,2,1910,11576,1,0,0,3,7,1410,500,1978,0,98011,47.7356,-122.198,2040,8750,209
9546,175000,4,2.5,1780,6000,2,0,0,3,7,1780,0,1991,0,98198,47.3828,-122.302,1630,6000,62
15498,423000,3,1.75,1100,10005,1,0,0,5,7,1100,0,1964,0,98056,47.5374,-122.173,1340,9709,347
5177,279950,3,1.75,1530,8800,1,0,0,4,7,1040,490,1967,0,98058,47.4483,-122.158,1530,8690,359
15165,412000,4,1.5,1960,5000,1,0,0,3,7,980,980,1912,0,98106,47.5688,-122.363,1300,5000,334
19356,383000,3,1.75,1500,13430,1,0,0,3,7,1500,0,1977,0,98072,47.7527,-122.082,1500,13430,54
16346,486000,4,2.5,3560,12047,2,0,0,3,10,3560,0,1988,0,98023,47.3019,-122.341,3420,11250,69
335,640000,2,1,1070,5000,1,0,0,3,7,1070,0,1924,0,98103,47.6666,-122.331,1710,5000,340
6955,375000,2,1,1810,8527,1.5,0,0,4,7,1810,0,1943,0,98133,47.7275,-122.336,1490,6800,112
13764,718000,3,1.75,4060,136290,1,0,0,3,8,2810,1250,1995,0,98045,47.4843,-121.719,1300,51836,333
710,310000,3,1.75,1490,7150,1,0,0,5,6,1490,0,1967,0,98059,47.5015,-122.124,1350,9100,96
19807,455000,3,1.75,1320,1014,3,0,0,3,9,1320,0,2015,0,98122,47.6047,-122.305,1380,1495,92
2480,275000,3,2.25,1260,1488,3,0,0,3,7,1260,0,2009,0,98133,47.7071,-122.336,1190,1095,226
5836,789900,3,2.5,3420,25150,1,0,0,4,10,1750,1670,1987,0,98006,47.5706,-122.152,2900,19604,68
3922,575000,2,1.75,2770,19700,2,0,0,3,8,1780,990,1983,0,98177,47.7581,-122.365,2360,9700,102
16559,631000,4,4,2630,59586,1,0,0,3,7,1470,1160,1963,0,98055,47.4496,-122.209,2230,5715,280
10694,345000,4,2.5,2382,5899,2,0,0,3,8,2382,0,2011,0,98003,47.2793,-122.295,2382,5897,110
20348,400200,4,3.5,2260,30250,2,0,0,3,7,2260,0,2013,0,98188,47.4493,-122.281,1270,16350,327
5311,535000,3,2.5,2210,7620,2,0,0,3,8,2210,0,1994,0,98052,47.6938,-122.13,1920,7440,21
4138,700000,3,2.5,3110,11727,2,0,2,3,9,3110,0,2002,0,98065,47.5445,-121.871,4240,13353,255
15654,419950,4,1.75,1870,16549,1,0,0,3,8,1870,0,1969,0,98072,47.7482,-122.083,1870,10804,244
16710,423500,3,2,2000,10490,1,0,0,3,8,1430,570,1978,0,98033,47.6976,-122.166,1530,7659,170
7144,320000,3,1.75,2220,11646,1,0,0,3,7,1270,950,1950,0,98028,47.7762,-122.27,1490,10003,67
7058,307550,4,2.5,1980,5909,2,0,0,3,8,1980,0,2003,0,98031,47.3913,-122.185,2550,5487,38
11078,425000,4,2.25,3680,26266,2,0,0,4,9,3680,0,1981,0,98042,47.3219,-122.085,2340,19939,173
18721,295000,4,1,1260,7800,1.5,0,0,3,7,1260,0,1947,2007,98125,47.7334,-122.307,1639,7492,290
2747,810000,3,2,2870,6360,1.5,0,1,4,8,1790,1080,1946,0,98115,47.6813,-122.275,2310,6466,120
13182,335000,3,2,1490,8847,1,0,0,4,7,1490,0,1967,0,98177,47.7639,-122.363,1640,7572,208
11529,505000,2,1,1020,5000,1,0,0,4,7,1020,0,1916,0,98117,47.6781,-122.363,1480,5000,120
7741,565000,5,1.5,1940,3430,1.5,0,0,4,6,1220,720,1926,0,98117,47.6853,-122.362,1830,4120,340
13306,271000,4,1.75,1490,9112,1,0,0,3,6,970,520,1940,0,98146,47.4991,-122.345,1650,8411,152
7821,250000,2,1,850,6370,1,0,0,3,6,850,0,1951,0,98126,47.5198,-122.373,850,5170,289
16992,296500,3,1.5,1580,10100,1,0,0,4,7,1580,0,1961,0,98055,47.4423,-122.193,1650,10032,234
11775,625500,2,1,2160,7439,1,0,0,4,6,1300,860,1953,0,98115,47.6981,-122.286,1680,7439,342
13281,717500,3,1,2090,4000,1.5,0,2,3,8,1890,200,1931,0,98199,47.6393,-122.392,2090,4000,219
21327,659000,3,2.5,3090,384634,2,0,0,3,8,3090,0,2007,0,98019,47.7072,-121.927,2200,292645,196
7078,990000,3,4,2550,3900,2,0,2,3,8,2050,500,1940,2003,98199,47.6415,-122.392,2340,6400,90
15702,250000,3,2.5,1650,2802,2,0,0,3,7,1650,0,2004,0,98055,47.4328,-122.196,1490,2084,119
12992,545000,4,2.5,2500,50595,2,0,0,3,9,2500,0,1997,0,98045,47.4736,-121.731,2765,33720,217
13266,641000,3,1.75,1620,3975,1,0,0,5,7,940,680,1926,0,98117,47.6786,-122.368,1320,3922,21
18525,465000,3,3.25,1510,1850,2,0,2,3,8,1230,280,2001,0,98107,47.6683,-122.362,1540,1840,196
972,532500,3,1.75,1330,5000,2,0,0,4,7,1210,120,1909,0,98116,47.5724,-122.384,1500,4000,181
19151,1.05e+006,3,2.25,2480,15022,1,0,4,3,9,1330,1150,1967,2003,98136,47.5497,-122.396,2500,8178,141
20045,545000,5,4,1680,7268,1,0,0,3,8,1370,310,2008,0,98106,47.5571,-122.356,2040,8259,337
11357,790000,3,1.75,1790,6117,1,0,2,3,8,1350,440,1940,0,98199,47.6366,-122.401,1960,5554,13
20587,552500,4,2.5,3260,6902,2,0,0,3,8,3260,0,2008,0,98059,47.4829,-122.156,3130,6588,258
17352,520000,4,3,2190,5085,2,0,0,4,8,2190,0,1992,0,98029,47.5693,-122.002,2130,5142,146
